date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2010-01-01,0,0,False,0.0,0.0
2010-01-02,0,0,False,0.0,0.0
2010-01-03,74,74,False,0.74,54.76
2010-01-04,0,0,False,0.0,0.0
2010-01-05,0,0,False,0.0,0.0
2010-01-06,0,0,False,0.0,0.0
2010-01-07,36,36,False,0.36,12.959999999999999
2010-01-08,0,0,False,0.0,0.0
2010-01-09,0,0,False,0.0,0.0
2010-01-10,48,48,False,0.48,23.04
2010-01-11,0,0,False,0.0,0.0
2010-01-12,47,47,False,0.47,22.09
2010-01-13,0,0,False,0.0,0.0
2010-01-14,0,0,False,0.0,0.0
2010-01-15,0,0,False,0.0,0.0
2010-01-16,0,0,False,0.0,0.0
2010-01-17,0,0,False,0.0,0.0
2010-01-18,0,0,False,0.0,0.0
2010-01-19,0,0,False,0.0,0.0
2010-01-20,0,0,False,0.0,0.0
2010-01-21,0,0,False,0.0,0.0
2010-01-22,0,0,False,0.0,0.0
2010-01-23,100,100,False,1.0,100.0
2010-01-24,0,0,False,0.0,0.0
2010-01-25,0,0,False,0.0,0.0
2010-01-26,0,0,False,0.0,0.0
2010-01-27,0,0,False,0.0,0.0
2010-01-28,0,0,False,0.0,0.0
2010-01-29,0,0,False,0.0,0.0
2010-01-30,0,0,False,0.0,0.0
2010-01-31,0,0,False,0.0,0.0
