date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2019-01-01,100,100,False,1.0,100.0
2019-01-02,0,0,False,0.0,0.0
2019-01-03,60,60,False,0.6,36.0
2019-01-04,45,45,False,0.45,20.25
2019-01-05,0,0,False,0.0,0.0
2019-01-06,44,44,False,0.44,19.36
2019-01-07,0,0,False,0.0,0.0
2019-01-08,0,0,False,0.0,0.0
2019-01-09,0,0,False,0.0,0.0
2019-01-10,0,0,False,0.0,0.0
2019-01-11,0,0,False,0.0,0.0
2019-01-12,0,0,False,0.0,0.0
2019-01-13,0,0,False,0.0,0.0
2019-01-14,0,0,False,0.0,0.0
2019-01-15,0,0,False,0.0,0.0
2019-01-16,0,0,False,0.0,0.0
2019-01-17,0,0,False,0.0,0.0
2019-01-18,0,0,False,0.0,0.0
2019-01-19,89,89,False,0.89,79.21000000000001
2019-01-20,0,0,False,0.0,0.0
2019-01-21,0,0,False,0.0,0.0
2019-01-22,77,77,False,0.77,59.29
2019-01-23,0,0,False,0.0,0.0
2019-01-24,0,0,False,0.0,0.0
2019-01-25,0,0,False,0.0,0.0
2019-01-26,100,100,False,1.0,100.0
2019-01-27,0,0,False,0.0,0.0
2019-01-28,0,0,False,0.0,0.0
2019-01-29,0,0,False,0.0,0.0
2019-01-30,0,0,False,0.0,0.0
2019-01-31,0,0,False,0.0,0.0
