date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2008-12-01,0,0,False,0.0,0.0
2008-12-02,0,0,False,0.0,0.0
2008-12-03,37,37,False,0.37,13.69
2008-12-04,0,0,False,0.0,0.0
2008-12-05,0,0,False,0.0,0.0
2008-12-06,0,0,False,0.0,0.0
2008-12-07,92,92,False,0.92,84.64
2008-12-08,0,0,False,0.0,0.0
2008-12-09,100,100,False,1.0,100.0
2008-12-10,0,0,False,0.0,0.0
2008-12-11,0,0,False,0.0,0.0
2008-12-12,0,0,False,0.0,0.0
2008-12-13,0,0,False,0.0,0.0
2008-12-14,0,0,False,0.0,0.0
2008-12-15,0,0,False,0.0,0.0
2008-12-16,0,0,False,0.0,0.0
2008-12-17,0,0,False,0.0,0.0
2008-12-18,0,0,False,0.0,0.0
2008-12-19,0,0,False,0.0,0.0
2008-12-20,0,0,False,0.0,0.0
2008-12-21,0,0,False,0.0,0.0
2008-12-22,0,0,False,0.0,0.0
2008-12-23,0,0,False,0.0,0.0
2008-12-24,89,89,False,0.89,79.21000000000001
2008-12-25,0,0,False,0.0,0.0
2008-12-26,0,0,False,0.0,0.0
2008-12-27,0,0,False,0.0,0.0
2008-12-28,0,0,False,0.0,0.0
2008-12-29,0,0,False,0.0,0.0
2008-12-30,0,0,False,0.0,0.0
2008-12-31,0,0,False,0.0,0.0
