date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2018-06-01,0,0,False,0.0,0.0
2018-06-02,42,42,False,0.42,17.64
2018-06-03,0,0,False,0.0,0.0
2018-06-04,0,0,False,0.0,0.0
2018-06-05,0,0,False,0.0,0.0
2018-06-06,0,0,False,0.0,0.0
2018-06-07,100,100,False,1.0,100.0
2018-06-08,0,0,False,0.0,0.0
2018-06-09,0,0,False,0.0,0.0
2018-06-10,43,43,False,0.43,18.49
2018-06-11,0,0,False,0.0,0.0
2018-06-12,57,57,False,0.57,32.489999999999995
2018-06-13,0,0,False,0.0,0.0
2018-06-14,0,0,False,0.0,0.0
2018-06-15,37,37,False,0.37,13.69
2018-06-16,0,0,False,0.0,0.0
2018-06-17,0,0,False,0.0,0.0
2018-06-18,0,0,False,0.0,0.0
2018-06-19,0,0,False,0.0,0.0
2018-06-20,0,0,False,0.0,0.0
2018-06-21,0,0,False,0.0,0.0
2018-06-22,0,0,False,0.0,0.0
2018-06-23,42,42,False,0.42,17.64
2018-06-24,0,0,False,0.0,0.0
2018-06-25,0,0,False,0.0,0.0
2018-06-26,39,39,False,0.39,15.21
2018-06-27,0,0,False,0.0,0.0
2018-06-28,0,0,False,0.0,0.0
2018-06-29,0,0,False,0.0,0.0
2018-06-30,48,48,False,0.48,23.04
