date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2021-10-01,0,0,False,0.0,0.0
2021-10-02,0,0,False,0.0,0.0
2021-10-03,0,0,False,0.0,0.0
2021-10-04,0,0,False,0.0,0.0
2021-10-05,0,0,False,0.0,0.0
2021-10-06,0,0,False,0.0,0.0
2021-10-07,0,0,False,0.0,0.0
2021-10-08,0,0,False,0.0,0.0
2021-10-09,0,0,False,0.0,0.0
2021-10-10,0,0,False,0.0,0.0
2021-10-11,0,0,False,0.0,0.0
2021-10-12,58,58,False,0.58,33.64
2021-10-13,0,0,False,0.0,0.0
2021-10-14,0,0,False,0.0,0.0
2021-10-15,0,0,False,0.0,0.0
2021-10-16,0,0,False,0.0,0.0
2021-10-17,69,69,False,0.69,47.61
2021-10-18,0,0,False,0.0,0.0
2021-10-19,0,0,False,0.0,0.0
2021-10-20,0,0,False,0.0,0.0
2021-10-21,55,55,False,0.55,30.250000000000004
2021-10-22,0,0,False,0.0,0.0
2021-10-23,0,0,False,0.0,0.0
2021-10-24,0,0,False,0.0,0.0
2021-10-25,0,0,False,0.0,0.0
2021-10-26,0,0,False,0.0,0.0
2021-10-27,100,100,False,1.0,100.0
2021-10-28,0,0,False,0.0,0.0
2021-10-29,0,0,False,0.0,0.0
2021-10-30,0,0,False,0.0,0.0
2021-10-31,0,0,False,0.0,0.0
