date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2004-03-01,0,0,False,0.0,0.0
2004-03-02,0,0,False,0.0,0.0
2004-03-03,0,0,False,0.0,0.0
2004-03-04,0,0,False,0.0,0.0
2004-03-05,0,0,False,0.0,0.0
2004-03-06,0,0,False,0.0,0.0
2004-03-07,0,0,False,0.0,0.0
2004-03-08,0,0,False,0.0,0.0
2004-03-09,0,0,False,0.0,0.0
2004-03-10,0,0,False,0.0,0.0
2004-03-11,0,0,False,0.0,0.0
2004-03-12,0,0,False,0.0,0.0
2004-03-13,0,0,False,0.0,0.0
2004-03-14,0,0,False,0.0,0.0
2004-03-15,100,100,False,1.0,100.0
2004-03-16,0,0,False,0.0,0.0
2004-03-17,0,0,False,0.0,0.0
2004-03-18,0,0,False,0.0,0.0
2004-03-19,27,27,False,0.27,7.290000000000001
2004-03-20,0,0,False,0.0,0.0
2004-03-21,0,0,False,0.0,0.0
2004-03-22,0,0,False,0.0,0.0
2004-03-23,0,0,False,0.0,0.0
2004-03-24,0,0,False,0.0,0.0
2004-03-25,0,0,False,0.0,0.0
2004-03-26,49,49,False,0.49,24.009999999999998
2004-03-27,0,0,False,0.0,0.0
2004-03-28,0,0,False,0.0,0.0
2004-03-29,0,0,False,0.0,0.0
2004-03-30,0,0,False,0.0,0.0
2004-03-31,0,0,False,0.0,0.0
