date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2011-05-01,100,100,False,1.0,100.0
2011-05-02,0,0,False,0.0,0.0
2011-05-03,0,0,False,0.0,0.0
2011-05-04,0,0,False,0.0,0.0
2011-05-05,0,0,False,0.0,0.0
2011-05-06,0,0,False,0.0,0.0
2011-05-07,0,0,False,0.0,0.0
2011-05-08,0,0,False,0.0,0.0
2011-05-09,0,0,False,0.0,0.0
2011-05-10,0,0,False,0.0,0.0
2011-05-11,0,0,False,0.0,0.0
2011-05-12,0,0,False,0.0,0.0
2011-05-13,0,0,False,0.0,0.0
2011-05-14,79,79,False,0.79,62.410000000000004
2011-05-15,0,0,False,0.0,0.0
2011-05-16,57,57,False,0.57,32.489999999999995
2011-05-17,0,0,False,0.0,0.0
2011-05-18,43,43,False,0.43,18.49
2011-05-19,0,0,False,0.0,0.0
2011-05-20,0,0,False,0.0,0.0
2011-05-21,0,0,False,0.0,0.0
2011-05-22,0,0,False,0.0,0.0
2011-05-23,0,0,False,0.0,0.0
2011-05-24,0,0,False,0.0,0.0
2011-05-25,0,0,False,0.0,0.0
2011-05-26,0,0,False,0.0,0.0
2011-05-27,0,0,False,0.0,0.0
2011-05-28,0,0,False,0.0,0.0
2011-05-29,0,0,False,0.0,0.0
2011-05-30,0,0,False,0.0,0.0
2011-05-31,0,0,False,0.0,0.0
