date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2011-10-01,0,0,False,0.0,0.0
2011-10-02,0,0,False,0.0,0.0
2011-10-03,0,0,False,0.0,0.0
2011-10-04,0,0,False,0.0,0.0
2011-10-05,0,0,False,0.0,0.0
2011-10-06,0,0,False,0.0,0.0
2011-10-07,0,0,False,0.0,0.0
2011-10-08,0,0,False,0.0,0.0
2011-10-09,0,0,False,0.0,0.0
2011-10-10,0,0,False,0.0,0.0
2011-10-11,0,0,False,0.0,0.0
2011-10-12,0,0,False,0.0,0.0
2011-10-13,0,0,False,0.0,0.0
2011-10-14,100,100,False,1.0,100.0
2011-10-15,0,0,False,0.0,0.0
2011-10-16,0,0,False,0.0,0.0
2011-10-17,0,0,False,0.0,0.0
2011-10-18,0,0,False,0.0,0.0
2011-10-19,0,0,False,0.0,0.0
2011-10-20,0,0,False,0.0,0.0
2011-10-21,0,0,False,0.0,0.0
2011-10-22,0,0,False,0.0,0.0
2011-10-23,0,0,False,0.0,0.0
2011-10-24,0,0,False,0.0,0.0
2011-10-25,0,0,False,0.0,0.0
2011-10-26,0,0,False,0.0,0.0
2011-10-27,0,0,False,0.0,0.0
2011-10-28,0,0,False,0.0,0.0
2011-10-29,0,0,False,0.0,0.0
2011-10-30,0,0,False,0.0,0.0
2011-10-31,0,0,False,0.0,0.0
