date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-12-01,74,74,False,0.74,54.76
2022-12-02,0,0,False,0.0,0.0
2022-12-03,0,0,False,0.0,0.0
2022-12-04,0,0,False,0.0,0.0
2022-12-05,61,61,False,0.61,37.21
2022-12-06,0,0,False,0.0,0.0
2022-12-07,0,0,False,0.0,0.0
2022-12-08,0,0,False,0.0,0.0
2022-12-09,0,0,False,0.0,0.0
2022-12-10,0,0,False,0.0,0.0
2022-12-11,75,75,False,0.75,56.25
2022-12-12,0,0,False,0.0,0.0
2022-12-13,78,78,False,0.78,60.84
2022-12-14,39,39,False,0.39,15.21
2022-12-15,0,0,False,0.0,0.0
2022-12-16,100,100,False,1.0,100.0
2022-12-17,48,48,False,0.48,23.04
2022-12-18,0,0,False,0.0,0.0
2022-12-19,0,0,False,0.0,0.0
2022-12-20,0,0,False,0.0,0.0
2022-12-21,0,0,False,0.0,0.0
2022-12-22,0,0,False,0.0,0.0
2022-12-23,76,76,False,0.76,57.76
2022-12-24,0,0,False,0.0,0.0
2022-12-25,0,0,False,0.0,0.0
2022-12-26,0,0,False,0.0,0.0
2022-12-27,0,0,False,0.0,0.0
2022-12-28,0,0,False,0.0,0.0
2022-12-29,0,0,False,0.0,0.0
2022-12-30,0,0,False,0.0,0.0
2022-12-31,0,0,False,0.0,0.0
